id,text_x,text_top,text_w,text_h,ocr,score
61239,0.0659,0.0338,0.8672,0.1925,THE 1980 CULT CLASSIC... FOR THE FIRST TIME IN NORTH AMERICA! ISLE OF THE,0.8464
61692,0.0162,0.0324,0.9817,0.3086,SHERLOCK HOLMES,0.8856
61885,0.2372,0.0401,0.5328,0.1072,HORRID,0.2879
61980,0.0,0.3812,0.5288,0.1874,SEEING HEAVEN,0.1802
61997,0.0054,0.0452,0.9946,0.2049,BEWARE THE MOON: Remembering AN AMERICAN WEREWOLF IN LONDON,1.2185
62985,0.0386,0.5928,0.913,0.2154,GIRLS havil me MILK Jersey are,0.2592
63183,0.0386,0.0401,0.9443,0.2128,SATAN'S,1.07
63199,0.0,0.0642,0.9833,0.2988,BRAIN DAMAGE FILMS BA N N E D Presents,1.7294
63333,0.0,0.1386,0.86,0.3428,g g SAFETY ROO DANGER SWITCHES,0.3237
64086,0.0513,0.0,0.9033,0.2731,DEADLY GAME,1.5629
64248,0.2129,0.6352,0.5204,0.2409,Child of Glass,0.73
64856,0.0,0.0132,0.47,0.1781,RAW & EXTREME WILD EYE,0.2141
64857,0.0208,0.0,0.9693,0.2199,BLAND TRAIL TUBB R.J. PRESTON ADRIAN PASDAR BARRY,1.086
65141,0.0115,0.6775,0.8959,0.2323,"BLACK ICE Love, Sex, and Murder... THe Story of Rer First Time",1.1602
65146,-1.0,-1.0,-1.0,-1.0,,0.0
65348,0.2456,0.7933,0.5127,0.1021,DAWNING,0.2598
65535,0.0,0.0121,1.0,0.2792,DIGITAL FILM MEDIA JORDI ONSU REYMON KNULIQH MAXIME BOUTTIER SAHILA HISYAM PRESE,0.8738
66111,-1.0,-1.0,-1.0,-1.0,,0.0
66475,0.2981,0.5373,0.6414,0.2392,STITCH,0.4612
66621,0.0,0.4362,0.5162,0.2547,LA MAIN ROUGE DUE DIABLE,0.0965
66918,0.1957,0.3917,0.5725,0.1832,"Beginning OF THE END""",0.187
67311,0.0,0.0302,0.9601,0.3188,"BIKENI, A GO GO",1.2386
67750,0.1542,0.7321,0.701,0.2248,GRAVE INDISCRETION,0.4119
67795,0.0107,0.4044,0.9712,0.3338,HOUSE THE ON BARE FOR ADULT ADULTS MOUNTAIN ONLY! Filmedin WHAT WAS THE,0.6049
67892,0.0,0.4997,1.0,0.2724,Dracula VS,0.8758
68304,0.0,0.6854,1.0,0.3146,HUMANOIDS from ATLANTIS,1.9994
68306,0.0337,0.6879,0.955,0.261,ZOMBIE P,1.421
69142,0.023,0.7411,0.9287,0.2343,BEAST BENEATH,0.7873
69266,0.0178,0.0529,0.9703,0.2004,SPECIAL BULLETIN,1.1519
69323,0.1124,0.0052,0.7301,0.2926,Wayne Corey Staci Shields DeHart Harris Eric Street Tales of Terror,1.2315
69884,0.1323,0.0407,0.7548,0.2661,HORROR LEGEND KANE HODDER EXIT 33,1.2073
69917,0.0,0.7575,0.5464,0.1145,ROOM,0.3266
70019,0.0259,0.3728,0.6923,0.0572,EXPERIMENTS IN TERROR,0.0474
70714,0.0583,0.0149,0.8813,0.1862,GRAND BRILLIANCE & ALTERNATE STUDIOS mempersembahkan Penunggu realiti istanA ser,0.7978
70857,-1.0,-1.0,-1.0,-1.0,,0.0
70981,0.1753,0.8939,0.6513,0.0526,PROMETHEUS,0.1214
71102,0.0,0.2925,1.0,0.3204,WHAT YOU WISH FOR CAREFUL,0.2212
71147,0.4861,0.5014,0.3611,0.1978,NGL,0.1376
71181,0.1272,0.5217,0.8728,0.221,BULLIES,0.6309
71470,0.1753,0.0176,0.6622,0.2023,Banned,0.7342
71479,0.0196,0.6044,0.8695,0.1329,[WE'REWOLVES] IT'S IN THE BLOOD...,0.3225
71585,0.0669,0.6625,0.8574,0.2245,The BARE WENCH project,1.0846
