id,title,original_title,year,year_mode
275804,Goosebumps: Scary House,Goosebumps: Scary House,2005,none
279428,Beranak Dalam Kubur,Beranak Dalam Kubur,2013,none
281114,Nenek Bongkok Tiga,Nenek Bongkok Tiga,2012,none
302644,Blood Effects,Blood Effects,2013,none
354325,Govan Ghost Story,Govan Ghost Story,1989,none
365537,Blood Sacrifice,Blood Sacrifice,2002,none
379565,Kids And The Occult,Kids And The Occult,1994,none
418266,The Vampire's Curse,The Vampire's Curse,1998,none
419279,The Witching,The Witching,1983,none
429031,Black Mass of the Brain,Black Mass of the Brain,2016,none
444913,Strangled 6,Strangled 6,1998,none
444972,The Archer,The Archer,1997,none
451331,Dive into Doom,Tauchfahrt ins Verderben,2013,none
452499,Tangerine Dream: Inferno,Tangerine Dream: Inferno,2004,none
471177,Game Changer: The Legacy of Saw,Game Changer: The Legacy of Saw,2015,none
478819,Zombie Lust,Zombie Lust,2002,none
479331,The Perils of Penelope,The Perils of Penelope,1994,none
496865,Re-Animator of the Living Dead,Re-Animator of the Living Dead,2015,none
502940,Graveyard Rot,Graveyard Rot,1992,none
531502,Funnel Web Family Refrigerated,Funnel Web Family Refrigerated,2016,none
575514,Werewolf of Carle Place,Werewolf of Carle Place,2013,none
579156,Lunch Meat,Lunch Meat,1992,none
594030,Mystic Demon Killer,Mystic Demon Killer,2019,none
594094,Death O Lantern: The Remake,Death O Lantern: The Remake,2019,none
618418,Deadly Encounter,Deadly Encounter,1997,none
643502,Rien the Serial Killer,Rien the Serial Killer,2008,none
645510,Klaus The Devil's Primate,Klaus The Devil's Primate,2014,none
659158,Purveyors Of Blood,Purveyors Of Blood,2004,none
669974,Ashley,Ashley,2020,none
674895,Sludge Warriors,Sludge Warriors,2019,none
704262,An Evening with my Great Aunt Bedelia,An Evening with my Great Aunt Bedelia,2012,none
708706,Feed Your Head! Lose Your Head!,Feed Your Head! Lose Your Head!,2020,none
717859,Bara,Bara,2018,none
