id,title,year,vote_count,imdb_id,reason
227348,Paranormal Activity: The Marked Ones,2014,1235,tt2473682,tmdb_vote_count_gt_100
11187,Child's Play 3,1991,1234,tt0103956,tmdb_vote_count_gt_100
1242011,Together,2025,1234,tt31184028,tmdb_vote_count_gt_100
71469,The Darkest Hour,2011,1229,tt1093357,tmdb_vote_count_gt_100
243940,The Lazarus Effect,2015,1226,tt2918436,tmdb_vote_count_gt_100
3600,I Still Know What You Did Last Summer,1998,1225,tt0130018,tmdb_vote_count_gt_100
50698,Grave Encounters,2011,1222,tt1703199,tmdb_vote_count_gt_100
84348,V/H/S,2012,1217,tt2105044,tmdb_vote_count_gt_100
138,Dracula,1931,1210,tt0021814,tmdb_vote_count_gt_100
77949,The Awakening,2011,1207,tt1687901,tmdb_vote_count_gt_100
146301,Paranormal Activity: The Ghost Dimension,2015,1198,tt2473510,tmdb_vote_count_gt_100
21407,The Collector,2009,1194,tt0844479,tmdb_vote_count_gt_100
