imdb_id,primaryTitle,originalTitle,startYear,titleType,runtimeMinutes,genres
tt4390074,Them,Them,,movie,,Horror
tt4391726,Slash: Final Cut,Slash: Final Cut,,movie,,"Drama,Horror,Thriller"
tt4403314,Golden Record,Golden Record,,movie,,"Horror,Sci-Fi"
tt4406450,The Ranch,The Ranch,,movie,,"Horror,Thriller"
tt4407966,Exit,Exit,,movie,,"Horror,Mystery,Thriller"
tt4410450,The Sculpture,The Sculpture,,movie,,Horror
tt4410470,The Foreboding,The Foreboding,,movie,,Horror
tt4414634,Filmed,Filmed,,movie,102,Horror
tt4416700,Ladakh,Ladakh,,movie,,Horror
tt4420706,Sucked Dry,Sucked Dry,,movie,,Horror
tt4421258,Tenebra,Tenebra,,movie,,"Horror,Sci-Fi"
tt4423292,The Lucifer Factor,The Lucifer Factor,,movie,,"Horror,Thriller"
tt4423352,The Time That Time Forgot,The Time That Time Forgot,,movie,,"Adventure,Horror,Sci-Fi"
tt4427900,The Siren,The Siren,,movie,,Horror
tt4428838,Scarlet Rising,Scarlet Rising,,movie,,Horror
tt4428858,Out of Body,Out of Body,,movie,,"Horror,Sci-Fi,Thriller"
tt4431112,The Surrealist,The Surrealist,,movie,,Horror
tt4431676,"Zombie, Esq","Zombie, Esq",,movie,,Horror
tt4432922,Rust,Rust,,movie,,"Crime,Horror,Thriller"
tt4432950,Needles,Needles,,movie,,"Horror,Thriller"
tt4434082,Scripted,Scripted,,movie,,Horror
tt4435228,Into the Cemetery,Into the Cemetery,,movie,,Horror
tt4436878,Witches Can Be Bitches,Witches Can Be Bitches,,movie,,Horror
tt4437182,When the Dead Laugh,When the Dead Laugh,,movie,,Horror
tt4438840,Black History Month,Black History Month,,movie,,"Action,Horror,Thriller"
tt4440512,Scream Room,Scream Room,,movie,,Horror
tt4441470,Zombie Wedding,Zombie Wedding,,movie,,"Comedy,Horror,Sci-Fi"
tt4441488,Slaughter on Sorority Row,Slaughter on Sorority Row,,movie,,Horror
tt4441508,Ghost Bridge,Ghost Bridge,,movie,,Horror
tt4442030,The Hills Have Eyes: The Beginning,The Hills Have Eyes: The Beginning,,movie,,"Animation,Horror"
tt4444698,Evergreen,Evergreen,,movie,,Horror
tt4445460,Housebound,Housebound,,movie,,"Comedy,Horror"
tt4448434,En la Oscuridad,En la Oscuridad,,movie,,Horror
tt4450776,Saralysis,Saralysis,,movie,,Horror
tt4451200,Condemned,Condemned,,movie,,Horror
tt4452568,The Vampyre,The Vampyre,,movie,90,"Action,Horror"
tt4454904,Sex Magic,Sex Magic,,movie,79,"Crime,Horror,Thriller"
tt4455572,Whispers in the Walls,Whispers in the Walls,,movie,,Horror
tt4456302,Dark Glass,Dark Glass,,movie,,Horror
tt4457798,The Mongers,The Mongers,,movie,,Horror
tt4457800,Midnight City,Midnight City,,movie,,Horror
tt4457816,Lily,Lily,,movie,,Horror
tt4458140,Rebel,Rebel,,movie,,Horror
tt4459232,Hexen,Hexen,,movie,,"Horror,Thriller"
tt4462462,Neon Doom,Neon Doom,,movie,,"Horror,Sci-Fi"
tt4465090,Midnight Stories,Midnight Stories,,movie,,Horror
tt4466272,Flux,Flux,,movie,,"Horror,Sci-Fi"
tt4468728,Snowfall,Snowfall,,movie,95,Horror
tt4468864,Vampiria,Vampiria,,movie,120,"Horror,Thriller"
tt4469466,Within the Mine,Within the Mine,,movie,,Horror
tt4471028,Mary,Mary,,movie,,"Horror,Thriller"
tt4474454,Immurement,Immurement,,movie,90,Horror
tt4475042,Flower Girl Wake,Flower Girl Wake,,movie,,"Comedy,Drama,Horror"
tt4476794,The Offering,The Offering,,movie,,"Comedy,Drama,Horror"
tt4477410,No Place Like Home,No Place Like Home,,movie,,Horror
tt4478696,Beech Hollow,Beech Hollow,,movie,100,Horror
tt4482522,Forest for the Trees,Forest for the Trees,,movie,,"Adventure,Horror,Thriller"
tt4484650,Rage in the Cage,Rage in the Cage,,movie,,"Horror,Sci-Fi"
tt4489060,Left Hand Black,Left Hand Black,,movie,85,Horror
tt4494812,I Am DeSade,I Am DeSade,,movie,90,Horror
tt4494830,Evil High,Evil High,,movie,,Horror
tt4500384,Bloody Mary,Bloody Mary,,movie,,Horror
tt4501278,The Maple House,The Maple House,,movie,,Horror
tt4502572,The Hunters,The Hunters,,movie,,Horror
tt4502734,American Nightmare 3D,American Nightmare 3D,,movie,,Horror
tt4504400,90 Days,90 Days,,movie,,Horror
tt4507744,Beautiful Retribution,Beautiful Retribution,,movie,,Horror
tt4509464,Tape 1008,Tape 1008,,movie,,Horror
tt4511166,Bloody Christmas LA,Bloody Christmas LA,,movie,,Horror
tt4511532,Behind the Red Door,Behind the Red Door,,movie,,Horror
tt4511542,An Hour Apart,An Hour Apart,,movie,,Horror
tt4511904,Storm,Storm,,movie,,Horror
tt4516508,Roller Boogie Massacre,Roller Boogie Massacre,,movie,,Horror
tt4517180,Bloodstone,Bloodstone,,movie,,Horror
tt4519432,Mine to Keep,Mine to Keep,,movie,,"Horror,Thriller"
tt4519516,Josephine,Josephine,,movie,,"Fantasy,Horror,Romance"
tt4521670,The Dead Princess,The Dead Princess,,movie,,"Fantasy,Horror"
tt4521818,Break,Break,,movie,,Horror
